分類,機關名稱,標案名稱,傳輸次數,公告日期,截止日期,金額,網址
坡地,臺北市政府工務局大地工程處,107年度臺北市山坡地社區自主防災校園水土保持宣導及優良社區選拔委託專業服務案,1,107/02/02,107/02/13,"
													
													
													
														
														
														3,550,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52398575
坡地,臺北市政府工務局大地工程處,107年度臺北市山坡地邊坡（南區）暨農業環境維護預約式工程委託設計監造技術服務案,1,107/01/31,107/02/12,"
													
													
													
														
														
														3,139,620
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52385534
坡地,臺北市政府工務局大地工程處,107年度山坡地住宅邊坡及老舊聚落緊急水土保持工程暨違規案件水土保持處理委託設計監造技術服務案,1,107/01/29,107/02/08,"
													
													
													
														
														
														2,486,774
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52398596
坡地,臺北市政府工務局大地工程處,107年度臺北市山坡地住宅及老舊聚落周邊水土保持巡勘觀測及水土保持宣導委託專業服務案,1,107/01/26,107/02/06,"
													
													
													
														
														
														7,400,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52397645
坡地,嘉義縣中埔鄉中山國民小學,嘉義縣中埔鄉中山國民小學老舊校舍整建工程委託勘測規劃、設計及監造（含水土保持計畫及山坡地審查作業）,1,107/01/12,107/02/06,"
													
													
													
														
														
														5,854,480
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52398183
坡地,臺北市政府工務局大地工程處,107年度臺北市山坡地邊坡維護預約式工程（北區）委託設計監造技術服務案,1,107/01/31,107/02/12,"
													
													
													
														
														
														3,139,620
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52385599
坡地,新北市政府採購處,107年度新北市山坡地土地可利用限度分類查定計畫,1,107/01/26,107/02/06,"
													
													
													
														
														
														5,204,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52410130
邊坡,屏東縣政府,屏110線鄉道上邊坡整治計畫委託設計監造案,1,107/02/05,107/02/21,"
													
													
													
														
														
														8,120,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52401239
邊坡,交通部公路總局第二區養護工程處,台14線77K~80K及88K~92K路段邊坡監測委託服務工作,1,107/02/01,107/03/01,"
													
													
													
														
														
														8,353,688
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52415726
邊坡,臺北市政府工務局大地工程處,107年度臺北市山坡地邊坡維護預約式工程（北區）委託設計監造技術服務案,1,107/01/31,107/02/12,"
													
													
													
														
														
														3,139,620
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52385599
