分類,機關名稱,標案名稱,傳輸次數,公告日期,截止日期,金額,網址
坡地,行政院農業委員會水土保持局,107年度山坡地開發防災設計標準提升及水土保持技術規範法規檢討,1,106/12/15,106/12/26,3300000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52372138
坡地,行政院農業委員會水土保持局南投分局,107年度南投分局轄區山坡地土地可利用限度分類查定專案計畫,1,106/12/14,106/12/26,8000000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369337
坡地,行政院農業委員會水土保持局,107年度加強山坡地水土保持監督與管理及教育訓練,1,106/12/13,106/12/27,3500000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52366820
坡地,行政院農業委員會水土保持局,107年坡地空間資料庫及空間資訊系統功能擴充及維護,1,106/12/11,106/12/25,5500000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52363572
坡地,行政院農業委員會水土保持局,山坡地保育利用管理工作績效考核頒獎典禮暨實務座談,1,106/12/08,106/12/18,3500000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52362107
坡地,行政院農業委員會水土保持局,台灣中部地區土地利用型態調查及6縣市之山坡地範圍通盤檢討計畫,1,106/12/07,106/12/18,9800000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52360446
坡地,臺北市政府工務局大地工程處,107年度本市坡地場域環境教育推廣計畫委託專業服務案,1,106/12/01,106/12/18,5970000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52330628
坡地,行政院農業委員會水土保持局臺北分局,107年度北部地區山坡地土地可利用限度分類查定專案計畫,1,106/12/14,106/12/25,8600000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369976
坡地,行政院農業委員會水土保持局,107年度山坡地管理資訊系統功能更新及維運,1,106/12/13,106/12/27,7050000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52367539
坡地,行政院農業委員會水土保持局,建置山坡地範圍劃定及查定管理系統及查定作業推動計畫(2/2),1,106/12/12,106/12/27,9200000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52365203
坡地,臺北市政府工務局大地工程處,107年度山坡地防災資訊整合系統（含休閒遊憩主題網與機關網站）擴充及維護委託資訊服務案,1,106/12/08,106/12/18,2450000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52363241
坡地,行政院農業委員會水土保持局,氣候變遷下臺灣北部山坡地開發行為土砂沖蝕估算模式之探討,1,106/12/07,106/12/18,4200000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52360749
坡地,桃園市政府水務局,107年度桃園市山坡地深化管理計畫,1,106/11/17,106/12/20,5669181,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52335609
邊坡,行政院農業委員會林務局南投林區管理處,奧萬大石灰坑溪邊坡保護工程委託規劃設計及監造技術服務,1,106/12/01,106/12/20,4200000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52342241
崩塌,行政院農業委員會水土保持局,107年度萬山、寶山、來義等八處大規模崩塌地區監測計畫,1,106/12/15,106/12/26,5750000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52371935
崩塌,行政院農業委員會水土保持局花蓮分局,富里鄉電台山及卓溪鄉石平部落崩塌地監測調查案,1,106/12/14,106/12/25,4500000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369040
崩塌,行政院農業委員會水土保持局花蓮分局,花蓮縣-卓溪鄉-卓溪村(D010)及太平村(D007)大規模崩塌區調查及治理規劃,1,106/12/14,106/12/25,5780000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52370431
崩塌,行政院農業委員會水土保持局臺北分局,107年度梅花、義興及茅圃地區大規模崩塌調查監測計畫,1,106/12/14,106/12/25,5300000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369628
崩塌,行政院農業委員會水土保持局臺中分局,臺中市-和平區-D045與D046大規模崩塌區調查及治理規劃,1,106/12/14,106/12/25,6300000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369548
崩塌,行政院農業委員會水土保持局臺中分局,苗栗縣-泰安鄉-D026大規模崩塌區調查及治理規劃,1,106/12/14,106/12/25,4000000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369523
崩塌,行政院農業委員會水土保持局臺北分局,107年度秀巒及泰崗地區潛在大規模崩塌地調查及治理規劃,1,106/12/14,106/12/25,5300000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369535
崩塌,行政院農業委員會水土保持局臺東分局,107年臺東縣延平鄉紅葉村等地區(延平鄉-紅葉村、達仁鄉-D003、D004、大武鄉-D021、D022)大規模崩塌調查監測計畫,1,106/12/07,106/12/21,6500000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52359873
