分類,機關名稱,標案名稱,傳輸次數,公告日期,截止日期,金額,網址
智慧,行政院環境保護署,107-108年智慧環境地理資料服務及協作計畫,1,107/02/01,107/03/02,"
													
													
													
														
														
														8,500,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52415760
智慧,屏東縣政府,屏東縣智慧水管理之前瞻技術研發與應用計畫,1,107/01/30,107/02/12,"
													
													
													
														
														
														3,000,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52390999
智慧,經濟部水利署第七河川局,智慧水管理-高屏溪流域整體管理規劃(1/3),1,107/01/29,107/02/23,"
													
													
													
														
														
														31,000,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52411783
智慧,僑務委員會,2018年僑務委員會僑臺商投資臺灣邀訪團-智慧機械產業、新農業產業、生技醫療產業、綠能產業及人工智慧產業,1,107/01/29,107/02/21,"
													
													
													
														
														
														5,966,890
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52410481
智慧,國立傳統藝術中心,107年度館藏及數位內容智慧財產權利盤點專案,1,107/01/24,107/02/07,"
													
													
													
														
														
														2,500,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52406991
智慧,教育部體育署,107年智慧科技促進國民體適能計畫專案辦公室設置案,1,107/01/22,107/02/05,"
													
													
													
														
														
														9,500,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52405861
智慧,動能意像製作有限公司,水下三十米雲端平台暨人工智慧系統建置開發案,1,107/01/17,107/02/01,"
													
													
													
														
														
														11,733,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52402621
智慧,桃園市政府工務局,石門水庫及大漢溪流域跨域亮點計畫—石門水庫智慧觀光建置與智慧運輸資訊系統介接工作,1,107/01/11,107/02/12,"
													
													
													
														
														
														9,800,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52397483
智慧,經濟部標準檢驗局,107年度身心障礙與高齡者智慧照護輔具檢測驗證推動計畫,1,107/01/08,107/02/01,"
													
													
													
														
														
														5,165,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52394216
智慧,台灣中油股份有限公司,8英吋和10英吋乙烯管線智慧型通管器(IP)檢測工作,4,107/01/31,107/02/06,"
													
													
													
														
														
														37,071,741
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52414065
