分類,機關名稱,標案名稱,傳輸次數,公告日期,截止日期,金額,網址
智慧,新北市泰山區明志國民小學,新北市泰山區明志國民小學106年度高互動及創新教學應用智慧教室建置計畫財物採購案,1,106/12/15,106/12/20,"2,580,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52365974
智慧,國立臺灣科技大學,智慧射出成形機一臺,2,106/12/15,106/12/21,"2,250,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52371682
智慧,新竹縣竹北市十興國民小學,新竹縣十興國民小學國中小智慧學習試辦計畫設備財物採購,1,106/12/14,106/12/20,"400,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52372796
智慧,臺北市政府,臺北市信義區廣慈博愛園區暨六張犁A、B基地公共住宅智慧科技應用統包工程,1,106/12/14,107/02/09,"669,367,943",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52370118
智慧,文化部文化資產局,國定古蹟臺北機廠107年度智慧路燈建置計畫案(第一期),1,106/12/14,106/12/25,"9,800,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52370290
智慧,國立臺北科技大學,智慧製造CNC數值控制五軸加工CAD/CAM系統一套,2,106/12/14,106/12/20,"1,500,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369688
智慧,花蓮縣瑞穗鄉奇美國民小學,花蓮縣瑞穗鄉奇美國民小學『花蓮縣智慧教育提升計畫-科技教育扎根教學場域』採購案,2,106/12/13,106/12/15,"119,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369343
智慧,經濟部加工出口區管理處,107至108年次世代環境智能系統技術研發與應用推動計畫-物聯網智慧應用創新服務,1,106/12/13,107/01/02,"6,766,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52368216
智慧,臺中市政府交通局,臺中市水湳智慧城中央停車場委託經營案,2,106/12/13,106/12/18,0,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52367919
智慧,桃園市龍潭區公所,107年龍潭區公所智慧行動區里系統網路通訊費,2,106/12/12,106/12/18,"168,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52367647
智慧,財團法人電信技術中心,107年智慧城市展策展規劃及執行委託服務,1,106/12/12,106/12/26,"3,200,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52365772
智慧,國立傳統藝術中心,107年度館藏及數位內容智慧財產權利盤點專案,1,106/12/12,106/12/25,"2,500,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52365495
智慧,新北市汐止區公所,汐止區智慧里各道路巷弄等環境清掃(潔),1,106/12/11,106/12/19,"287,760",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52365708
智慧,太魯閣國家公園管理處,太魯閣國家公園智慧服務平台規劃與運用研究(3/3),1,106/12/11,106/12/26,"1,929,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52364607
智慧,彰化縣田尾鄉公所,「田尾鄉智慧觀光鄉鎮～打造『友善觀光客』的英文即時旅遊系統」資訊服務採購案,1,106/12/11,106/12/20,"5,000,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52364985
智慧,經濟部水利署,107年水利防災視訊及水情影像智慧化維運管理與擴充,1,106/12/08,107/01/08,"9,000,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52361629
智慧,高雄市立英明國民中學,國中小智慧學習試辦計畫設備建置財物採購案,1,106/12/08,106/12/18,"1,193,800",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52361776
智慧,桃園市政府青年事務局,106年安東青創基地網路系統、電腦及智慧觸控電子白板設置裝配採購案,1,106/12/08,106/12/18,"1,349,756",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52362911
