分類,機關名稱,標案名稱,傳輸次數,公告日期,截止日期,金額,網址
水資源,屏東縣政府,屏東熱博精緻農業水資源推廣示範勞務採購,1,107/01/02,107/01/15,"
													
													
													
														
														
														2,550,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52352734,1
水資源,臺中市政府水利局,臺中市石岡壩水源特定區、梨山及環山水資源回收中心聯合委託代操作維護管理工作,1,106/12/25,107/01/16,"
													
													
													
														
														
														28,000,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52351205,1
水資源,經濟部水利署,107年度水資源關鍵設施升級及安全管理確保旗艦計畫,1,106/12/21,107/01/22,"
													
													
													
														
														
														5,200,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52379345,1
水資源,新竹縣政府,新竹縣竹北市污水下水道系統第二期實施計畫-水資源回收中心第二期工程設計及監造暨3年試運轉審查及督導委託技術服務,1,106/12/13,107/01/09,"
													
													
													
														
														
														22,685,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52367618,1
水資源,臺中市政府水利局,臺中市水資源回收中心無機污泥委託清除處理,1,106/12/19,107/01/15,"
													
													
													
														
														
														9,150,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52374555,1
綠能,台灣中油股份有限公司,綠能科技研究所-焦粉碳化工作,1,107/01/02,107/01/12,"
													
													
													
														
														
														3,560,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52389311,1
綠能,勞動部勞動力發展署北基宜花金馬分署,107年度第1次委託辦理失業者職業訓練-工業與綠能職類群,1,106/12/15,107/01/02,"
													
													
													
														
														
														19,440,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52370596,1
綠能,經濟部能源局,107年度「沙崙綠能科學城-綠能科技產業化技術驗證平台計畫(1/3)」,1,106/12/13,107/01/09,"
													
													
													
														
														
														400,000,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52368367,1
綠能,行政院農業委員會水產試驗所,107年科技計畫「農業綠能共構之產業鏈解析、合作平台與管理評估體系建立」委託科技研究,1,107/01/02,107/01/16,"
													
													
													
														
														
														10,898,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52388147,1
綠能,經濟部標準檢驗局,107年綠能產品電磁相容可靠度及碳足跡與產製登錄平台委辦計畫,1,106/12/13,107/01/05,"
													
													
													
														
														
														5,975,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52368510,1
