分類,機關名稱,標案名稱,傳輸次數,公告日期,截止日期,金額,網址
水資源,臺中市政府水利局,石岡壩水資源回收中心中段臨大甲溪河岸之護岸及邊坡保護工程,1,106/12/15,106/12/20,"65,340,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52363517
水資源,屏東縣政府,屏東農業百年發展史及淺談水資源編輯出版計畫,1,106/12/15,106/12/25,"4,000,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52339286
水資源,臺中市政府水利局,河岸水資源宣導活動(綠川)委託專業服務,1,106/12/14,106/12/22,"3,000,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52357461
水資源,臺中市南區區公所,臺中市南區107年度水資源回饋金運用監視系統保(維)修、租賃勞務採購開口契約,1,106/12/14,106/12/20,"568,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369427
水資源,苗栗縣大湖鄉公所,107年度苗栗縣大湖鄉鯉魚潭水庫水資源保護區環境清潔案,1,106/12/13,106/12/18,"552,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369119
水資源,新竹縣政府,新竹縣竹北市污水下水道系統第二期實施計畫-水資源回收中心第二期工程設計及監造暨3年試運轉審查及督導委託技術服務,1,106/12/13,107/01/09,"22,685,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52367618
水資源,臺南市政府水利局,臺南市安平水資源回收中心疏流井設置,2,106/12/13,106/12/19,"27,460,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52367195
水資源,經濟部水利署中區水資源局,中部地區多元化水資源運用及推廣計畫,3,106/12/12,106/12/19,"2,000,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52365542
水資源,經濟部水利署北區水資源局,北區水資源局轄區重要水庫壩堰(隆恩堰、上坪堰、羅東堰及中庄攔河堰)魚道環境生態調查,2,106/12/11,106/12/18,"2,497,756",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52364118
水資源,臺中市政府水利局,106年臺中市水資源回收中心設備改善工程(二),1,106/12/07,106/12/18,"5,171,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52360546
水資源,新北市政府採購處,林口水資源回收中心污泥乾燥計畫委託技術服務,1,106/12/04,106/12/19,"3,107,500",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52354929
水資源,經濟部水利署南區水資源局,107年度曾文溪流域公民參與及水資源教育深耕校園計畫,1,106/12/15,106/12/26,"1,750,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52371749
水資源,新竹市政府,新竹市客雅水資源回收中心污泥清理及刮泥機修繕工程委託設計監造技術服務,1,106/12/14,106/12/26,"1,385,577",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52368851
水資源,雲林縣政府,斗六市水資源回收中心暨嘉東社區簡易污水處理設備修繕及功能提升工程,2,106/12/14,106/12/21,"6,703,785",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52370226
水資源,經濟部水利署水利規劃試驗所,水資源物聯網專案管理(1/3),3,106/12/14,106/12/19,"3,000,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369940
水資源,經濟部水利署,水資源物聯網感測基礎雲端作業網絡—水資源物聯網感測基礎雲端作業平臺建置計畫,1,106/12/13,106/12/27,"38,750,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52341195
水資源,臺南市政府水利局,安平水資源回收中心(含截流站)電力系統效能提升－主變電站部分,1,106/12/13,106/12/26,"33,169,481",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52368615
