分類,機關名稱,標案名稱,傳輸次數,公告日期,截止日期,金額,網址
社區,臺北市政府都市發展局,107年度南區管理站轄管出租國宅社區公共機電及給、排水設備預約維修勞務採購,1,107/01/31,107/02/12,"
													
													
													
														
														
														3,397,070
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52414328
社區,臺北市政府都市發展局,107年度南區管理站及轄管出租國宅社區環境清潔勞務採購,1,107/01/31,107/02/12,"
													
													
													
														
														
														3,819,151
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52414153
社區,臺北市政府都市發展局,107年度住宅服務科南區管理站轄管出租國宅社區警衛保全勞務採購,1,107/01/30,107/02/12,"
													
													
													
														
														
														5,390,299
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52413314
社區,臺北市都市更新處,107年「臺北市社區營造點媒合培力計畫」委託專業服務案,1,107/01/30,107/02/12,"
													
													
													
														
														
														4,000,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52412939
社區,彰化縣員林市公所,「員林市社區整合型服務建置多功能老人福利大樓基礎設施案」委託規劃設計技術服務,1,107/01/29,107/02/22,"
													
													
													
														
														
														13,516,710
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52412226
社區,教育部青年發展署,107年青年暑期社區工讀計畫徵求承辦廠商,1,107/01/26,107/02/06,"
													
													
													
														
														
														4,800,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52411277
社區,苗栗縣政府,「苗栗縣107年度精神病社區關懷照顧計畫」委託專業服務需求案,1,107/01/26,107/02/05,"
													
													
													
														
														
														2,200,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52410286
社區,新北市政府衛生局,107年新北市精神病人社區關懷照顧計畫,1,107/01/26,107/02/06,"
													
													
													
														
														
														14,162,500
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52405542
社區,臺南市政府都市發展局,107年度臺南市社區規劃師駐地輔導計畫-臺南築角創意營造計畫案,1,107/01/24,107/02/05,"
													
													
													
														
														
														4,000,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52394251
社區,苗栗縣政府,107年水情中心管理維護、自主防災社區推動計畫維護管理及本年度新設社區擴充、防汛研習、我愛河川宣導委託專業服務案,1,107/01/23,107/02/02,"
													
													
													
														
														
														5,686,900
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52407059
社區,新竹市東區高峰國民小學,106-109年校園社區化改造-友善育兒空間新建幼兒園舍委託規畫設計監造技術服務,1,107/01/18,107/02/12,"
													
													
													
														
														
														2,776,560
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52403573
社區,臺東縣政府,107年度臺東縣社區規劃師及社區基本培力計畫,2,107/02/01,107/02/07,"
													
													
													
														
														
														7,000,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52415391
社區,花蓮縣政府,107年度花蓮縣社區規劃師駐地輔導計畫,1,107/01/31,107/02/26,"
													
													
													
														
														
														7,000,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52414205
社區,桃園市大園區公所,大園區五權市民活動中心暨社區式長照機構主體新建工程委託設計監造服務採購案,1,107/01/30,107/02/09,"
													
													
													
														
														
														3,366,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52412153
社區,新北市貢寮區公所,新北市貢寮區公所107年度辦理區內環境及公有廳舍、社區、公廁等公有設施環境清潔維護及墓政管理等委外人力勞務採購,1,107/01/26,107/02/06,"
													
													
													
														
														
														2,540,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52409422
社區,臺北市政府產業發展局,「107年臺北市智慧社區節能及示範實證計畫」委託專業服務案,1,107/01/24,107/02/06,"
													
													
													
														
														
														4,750,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52389886
社區,金門縣政府,金門縣社區大學委辦案A,1,107/01/22,107/02/08,"
													
													
													
														
														
														13,500,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52406238
社區,彰化縣政府,107年度彰化縣社區規劃師駐地輔導計畫,1,107/01/16,107/02/06,"
													
													
													
														
														
														10,000,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52400543
土地可利用,新北市政府採購處,107年度新北市山坡地土地可利用限度分類查定計畫,1,107/01/26,107/02/06,"
													
													
													
														
														
														5,204,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52410130
地理,行政院環境保護署,107-108年智慧環境地理資料服務及協作計畫,1,107/02/01,107/03/02,"
													
													
													
														
														
														8,500,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52415760
地理,經濟部水利署,107年度水利地理資訊服務平台整合及維運,1,107/01/30,107/03/01,"
													
													
													
														
														
														5,400,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52410880
地理,內政部,107年度地理資訊圖資雲服務平台推廣、營運及功能增修作業委外服務案,1,107/01/19,107/03/01,"
													
													
													
														
														
														19,000,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52357753
地理,臺中市政府水利局,107年臺中市地理防災資訊系統擴充維護,1,107/02/01,107/02/12,"
													
													
													
														
														
														3,130,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52355002
