分類,機關名稱,標案名稱,傳輸次數,公告日期,截止日期,金額,網址
社區,高雄市立凱旋醫院,107年精神病社區關懷及自殺通報個案「關懷訪視員」,1,106/12/15,106/12/21,10145164,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52374480
社區,高雄市政府教育局,高雄市106-109年「校園社區化改造計畫-友善育兒空間」鳳陽國小新建幼兒園園舍工程委託規劃設計暨監造技術服務,1,106/12/15,107/01/15,3280000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52371181
社區,新北市政府採購處,107年度新北市新店區直潭社區保全綜合管理暨維護服務,1,106/12/15,106/12/27,5400000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52370969
社區,雲林縣政府,107年度「身心障礙者社區日間作業設施服務計畫」,1,106/12/14,107/01/03,12541000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369632
社區,彰化縣政府,107年度彰化縣新住民社區服務據點委託營運管理,1,106/12/14,106/12/26,5388000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369805
社區,高雄市政府社會局,高雄市政府社會局委託辦理「梓官社區式(日間照顧)服務長期照顧服務機構」,1,106/12/13,106/12/21,3525100,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52367816
社區,新北市政府消防局,新北市政府消防局107年度推動區級災害防救及防災社區計畫委託專業服務案,1,106/12/12,106/12/25,4000000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52366492
社區,新北市政府環境保護局,107年新北市節電診所暨低碳社區推動計畫,1,106/12/12,106/12/25,3000000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52361287
社區,新北市政府採購處,新北市政府委託民間辦理新莊大豐公共托老中心（社區式長照機構）,1,106/12/12,106/12/21,6881400,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52364259
社區,高雄市政府教育局,高雄市106-109年「校園社區化改造計畫-友善育兒空間」新甲國小新建幼兒園園舍工程委託規劃設計暨監造技術服務,1,106/12/15,107/01/15,3690000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52368234
社區,南投縣政府,南投縣政府委託辦理107年度「身心障礙者社區式日間照顧服務計畫」專業服務,1,106/12/15,106/12/26,4462000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52372810
社區,嘉義市政府衛生局,委託辦理107年度精神疾病及自殺通報個案社區關懷訪視計畫,1,106/12/15,106/12/25,2800000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52372432
社區,新北市新店區公所,107年度直潭社區接駁交通車服務案,3,106/12/13,106/12/19,2490000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52367436
社區,臺中市龍井區龍山國民小學,106─109年「校園社區化改造計畫─友善育兒空間」之新建幼兒園園舍工程委託規畫設計監造技術服務採購,1,106/12/12,106/12/25,2210000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52365384
社區,臺中市立北勢國民中學,臺中市立北勢國民中學106—109年「『校園社區化改造計畫─友善育兒空間』新建幼兒園園舍工程」規劃、設計及監造委託技術服務採購案,1,106/12/12,106/12/22,2230000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52366381
土地利用,行政院農業委員會水土保持局,台灣中部地區土地利用型態調查及6縣市之山坡地範圍通盤檢討計畫,1,106/12/07,106/12/18,9800000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52360446
土地可利用,行政院農業委員會水土保持局南投分局,107年度南投分局轄區山坡地土地可利用限度分類查定專案計畫,1,106/12/14,106/12/26,8000000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369337
土地可利用,行政院農業委員會水土保持局臺北分局,107年度北部地區山坡地土地可利用限度分類查定專案計畫,1,106/12/14,106/12/25,8600000,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369976
