項次,機關名稱,標案名稱,網址,公告日期,截止日期,金額
1,臺北市政府,臺北市信義區廣慈博愛園區暨六張犁A、B基地公共住宅智慧科技應用統包工程,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52370118,"106/12/14
","107/02/09
","
													
													
													
														
														
														669,367,943
																											
														
													
																									
												"
3,文化部文化資產局,國定古蹟臺北機廠107年度智慧路燈建置計畫案(第一期),http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52370290,"106/12/14
","106/12/25
","
													
													
													
														
														
														9,800,000
																											
														
													
																									
												"
5,國立臺北科技大學,智慧製造CNC數值控制五軸加工CAD/CAM系統一套,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369688,"106/12/14
","106/12/20
","
													
													
													
														
														
														1,500,000
																											
														
													
																									
												"
7,花蓮縣瑞穗鄉奇美國民小學,花蓮縣瑞穗鄉奇美國民小學『花蓮縣智慧教育提升計畫-科技教育扎根教學場域』採購案,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369343,"106/12/13
","106/12/15
","
													
													
													
														
														
														119,000
																											
														
													
																									
												"
9,新北市泰山區明志國民小學,新北市泰山區明志國民小學106年度高互動及創新教學應用智慧教室建置計畫財物採購案,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52365974,"106/12/13
","106/12/20
","
													
													
													
														
														
														2,580,000
																											
														
													
																									
												"
11,桃園市立武漢國民中學,106年智慧教室建置及教學設備更新,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52366787,"106/12/13
","106/12/27
","
													
													
													
														
														
														10,321,900
																											
														
													
																									
												"
13,臺中市立潭秀國民中學,106年度國中小智慧學習試辦計畫暨教育網路中心維運計畫設備採購案,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52366340,"106/12/12
","106/12/25
","
													
													
													
														
														
														4,687,500
																											
														
													
																									
												"
15,國立高雄第一科技大學,車機智慧感測防撞裝置開發與場域測平台採購案,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52367330,"106/12/12
","106/12/14
","
													
													
													
														
														
														986,000
																											
														
													
																									
												"
17,財團法人電信技術中心,107年智慧城市展策展規劃及執行委託服務,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52365772,"106/12/12
","106/12/26
","
													
													
													
														
														
														3,200,000
																											
														
													
																									
												"
19,國立傳統藝術中心,107年度館藏及數位內容智慧財產權利盤點專案,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52365495,"106/12/12
","106/12/25
","
													
													
													
														
														
														2,500,000
																											
														
													
																									
												"
