相關單位,細部單位,資料名稱,NCName,資料說明,主要URL,JSONUrl,XMLUrl,CSVUrl
經濟部水利署,資訊室,水利署最新消息,WaterResourcesAgencyNews,提供水利署最新訊息，包括新聞稿、公告及徵才等。,http://wise.wra.gov.tw/dataset/waterresourcesagencynews,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=7207130E-A93A-4C46-9804-75937E3D93E3,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=7207130E-A93A-4C46-9804-75937E3D93E3,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=7207130E-A93A-4C46-9804-75937E3D93E3
經濟部水利署,水利防災中心,水利署水利防災用影像,WaterResourcesAgencyRealtimeImageCapturedForDisasterPrevention,本資料為記錄水利署於全台所建置之118處水情影像監視站錄影資料，從2005年起以每十分鐘一張的頻率記錄，對河川歷年演變情況進行長時間觀測，並提供防災與環境保育相關之影像加值與研究之用。另一方面由於大多數水位量測器都在水岸邊，常因洪水或水位暴漲而遭沖毀故障，以至於水情監測資料無法回傳或資料有誤，而監視站大多建在遠離淹水地區並以光學變焦方式進行遠端監控，因此可做為水情監測之輔助系統，在原系統故障失效時可利用影像資料於遠端進行水情狀況的確認，並可透過影像處理辯識等技術來持續提供防災所需之現地資訊。另一方面為了提升辨識率以及妥善率，近幾年已進行夜視功能以及備援系統的改善，並導入大資料技術進行設備使用期限的分析預測，可做為預防性維護的參考，期望達到不中斷服務的目的。,http://wise.wra.gov.tw/dataset/waterresourcesagencyrealtimeimagecapturedfordisasterprevention,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=362C7288-F378-4BF2-966C-2CD961732C52,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=362C7288-F378-4BF2-966C-2CD961732C52,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=362C7288-F378-4BF2-966C-2CD961732C52
經濟部水利署,水文技術組,河川水位測站站況,RiverStageObservatoryProfile,本資料集主要描述水利署所屬水位站之基本資料，有助於了解水位站的相關內容。,http://wise.wra.gov.tw/dataset/riverstageobservatoryprofile,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=28E06316-FE39-40E2-8C35-7BF070FD8697,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=28E06316-FE39-40E2-8C35-7BF070FD8697,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=28E06316-FE39-40E2-8C35-7BF070FD8697
經濟部水利署,水文技術組,河川流量測站站況,RiverFlowObservatoryProfile,本資料集主要描述水利署所屬流量站之基本資料，有助於了解流量站的相關內容。,http://wise.wra.gov.tw/dataset/riverflowobservatoryprofile,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=303C07AD-F0E9-4D6D-8CAB-0DCCB056F811,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=303C07AD-F0E9-4D6D-8CAB-0DCCB056F811,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=303C07AD-F0E9-4D6D-8CAB-0DCCB056F811
經濟部水利署,水利行政組,河川局遠端監控影像,RiverEnvironmentalSurveillancegImage,本資料集為水利署各河川局疏濬工區遠端監控影像。本資料集係彙整水利署河川局各疏濬工區設置之管制站之監控影像，藉由管制站監控疏濬工區，使保全人員與巡防駐衛警能即時掌握狀況，以防範疏濬工區範圍內在「非作業時段出料」之違法行為、砂石車出場時確實加蓋防塵網以符合環保規範等；另外，砂石車在疏濬工區若大排長龍，則導致交通問題。透過影像與其管理者管理APP可進行線上監控與管理，即時調度載土車輛或落實蓋網避免空汙環保等，並讓管理者能利用數據，進一步分析掌握工程進度。依據各河川局疏濬工程開工不定期更新，一年監控期間原則上至少每季1次。,http://wise.wra.gov.tw/dataset/riverenvironmentalsurveillancegimage,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=10147626-45D2-43E2-A560-D1C39BD600CD,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=10147626-45D2-43E2-A560-D1C39BD600CD,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=10147626-45D2-43E2-A560-D1C39BD600CD
經濟部水利署,水利行政組,疏濬點位資料,DredgingData,本資料集主要提供全台灣水利署所掌管之最新各中央管河川疏濬資訊，包括疏濬規劃量與目前執行量等相關資訊。,http://wise.wra.gov.tw/dataset/dredgingdata,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=0EDEAC14-9D38-4100-A67B-4FEAA1482049,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=0EDEAC14-9D38-4100-A67B-4FEAA1482049,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=0EDEAC14-9D38-4100-A67B-4FEAA1482049
水利規劃試驗所,灌溉排水規劃課,歷史淹水資料,HistoricalFloodingArea,本署河川局於中央氣象局發布豪大雨特報或颱風警報，倘轄區內降雨及積(淹)水達一定規模致發生淹水災害者，視災情自行啟動淹水災害調查，並由本署水利規劃試驗所彙整。僅供本署分析歷次淹水災害致災事件、範圍，以利工程成效分析之參考。本資料係屬大尺度之淹水調查。局部、零星、都市道路或低漥農漁塭區淹積水範圍則不在調查範圍內。本調查資料受限調查時間、人力及經費等諸多因素，其資料僅呈現大尺度淹水情況，但其淹水程度會隨局部或系統性工程完成時間而有所消長。,http://wise.wra.gov.tw/dataset/historicalfloodingarea,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=D04AE5E7-ADA8-49A4-8E80-A3D74F9F75DC,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=D04AE5E7-ADA8-49A4-8E80-A3D74F9F75DC,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=D04AE5E7-ADA8-49A4-8E80-A3D74F9F75DC
經濟部水利署,水文技術組,即時水位資料,RealtimeWaterLevel,經濟部水利署發布所屬分布於全台灣中央管河川或區域排水之水位觀測站所觀測之即時水位資料，資料內容包括各水位站當下最新之觀測水位資料、觀測日期及時間、水位站站號等。水位站即時觀測資料為每10分鐘紀錄1筆，因此資料更新頻率最快為每10分鐘1次。由於即時水位資料為即時發布之原始資料，因此資料未經任何檢核及品管程序，且資料可能因訊號傳輸中斷、儀器故障等因素導致部分水位站資料停止更新或回傳異常水位資料，使用者引用及參考時請謹慎注意。,http://wise.wra.gov.tw/dataset/realtimewaterlevel,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=2D09DB8B-6A1B-485E-88B5-923A462F475C,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=2D09DB8B-6A1B-485E-88B5-923A462F475C,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=2D09DB8B-6A1B-485E-88B5-923A462F475C
經濟部水利署,資訊室,抽水站位置圖,WaterPumpingStationLocation,1. 本資料集主要描述水利署暨所屬機關管轄近海雨量站現存站位置圖資料，用以提供各政府機關及受政府機關委託計畫之民間機構、團體或學術單位使用，欄位顯示為抽水站名稱，地理空間資料表現形式為點，資料筆數總計83筆。2. 防洪抽水站多設置於已完成整治之河道，於洪鋒通過時，水門已關閉之狀況下，將堤內積水以機械方式抽送至堤防外。3. 使用Google Earth軟體開啟本檔案，因Google提供之底圖影像並無經過精密之正射校正，圖層套疊時會產生些許誤差。,http://wise.wra.gov.tw/dataset/waterpumpingstationlocation,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=2C1D8EE6-189C-49CD-8816-F4FF2EF7F1A6,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=2C1D8EE6-189C-49CD-8816-F4FF2EF7F1A6,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=2C1D8EE6-189C-49CD-8816-F4FF2EF7F1A6
經濟部水利署,資訊室,防汛備料地點,FloodDefenseMaterialLocation,1. 本資料集主要描述水利署暨所屬機關管轄防汛備料地點資料，用以提供各政府機關及受政府機關委託計畫之民間機構、團體或學術單位使用，欄位顯示為防汛備料地點位置中文名稱，地理空間資料表現形式為點，資料筆數總計114筆。2. 水利署為因應汛期防洪需求，將防災救險所需之活動式裝備，如鼎塊、蛇籠、砂包、塊石、太空包等常用設備置於易取用之固定位置，並於洪災發生前進行設備之搬運調度。3. 使用Google Earth軟體開啟本檔案，因Google提供之底圖影像並無經過精密之正射校正，圖層套疊時會產生些許誤差。,http://wise.wra.gov.tw/dataset/flooddefensemateriallocation,https://data.wra.gov.tw/Service/OpenData.aspx?format=json&amp=&id=C91DC89D-0925-4FEB-8B69-A64F4601632D,https://data.wra.gov.tw/Service/OpenData.aspx?format=xml&amp=&id=C91DC89D-0925-4FEB-8B69-A64F4601632D,https://data.wra.gov.tw/Service/OpenData.aspx?format=csv&amp=&id=C91DC89D-0925-4FEB-8B69-A64F4601632D
